Country,gdp_total_usd_billion_cleaned,GDP_total_Year,GDP_per_capita_nominal_cleaned,GDP_per_capita_ppp_cleaned,GDP_growth_rate_cleaned,Inflation_rate_cleaned,Unemployment_rate_cleaned,Exports_Cleaned_Billion,Imports_Cleaned_Billion,Gov_Debt_Percent_GDP_Cleaned,Gov_Debt_Absolute_Billion_Cleaned,clean_currency,Links,Trade_Balance,Trade_Openness,GDP_Capita_Ratio,Debt_to_Income,Import_Export_Ratio,Is_Eurozone,Is_USD_Pegged,gdp_total_usd_billion_cleaned_log,GDP_per_capita_nominal_cleaned_log,GDP_per_capita_ppp_cleaned_log,Exports_Cleaned_Billion_log,Imports_Cleaned_Billion_log,Gov_Debt_Absolute_Billion_Cleaned_log,cluster,economic_class,scraped_paragraph,summary
Egypt,347.34,2024,3174.0,21668.0,3.8,3.99,6.3,51.1,88.2,63.9,66.02,Egyptian pound (ISO),https://en.wikipedia.org/wiki/Economy_of_Egypt,-4.572750000000001,40.104796453043136,0.33373301294282776,0.004015137529998154,1.726027397260274,0,0,5.853179014303639,8.063062911326792,9.983637946718957,3.9531649487593215,4.490881039585964,4.2049910823091645,0,Developing (Upper),"The economy of Egypt is a developing , mixed economy , combining private enterprise with centralized economic planning and government regulation. [ 25 ] It is the second-largest economy in Africa , and 42nd in worldwide ranking as of 2025. Egypt is a major emerging market economy and a member of the African Union , BRICS , and a signatory to the African Continental Free Trade Area (AfCFTA). The country is witnessing a period of economic recovery after facing serious financial challenges. [ 26 ]","Egypt's economy is a developing mixed economy that blends private enterprise with centralized planning and government regulation. As the second-largest economy in Africa and ranked 42nd globally in 2025, Egypt is a key emerging market and member of various economic alliances like the African Union and BRICS. Despite past financial difficulties, the country is currently experiencing an economic recovery phase."
Chile,343.82,2024,17020.0,35150.0,2.0,3.59,6.0,104.5,100.0,43.8,66.02,Chilean peso (CLP),https://en.wikipedia.org/wiki/Economy_of_Chile,4.5,59.47879704496539,0.4842105263157895,0.0012460881934566145,0.9569377990430622,0,0,5.843022541747705,9.742203154807973,10.467408346336265,4.658710952916121,4.61512051684126,4.2049910823091645,3,Developed,"The economy of Chile operates as a market economy and is classified as a high-income economy by the World Bank . [ 27 ] It is recognized as one of the most prosperous countries in South America , [ 28 ] leading the region in areas such as competitiveness , income per capita , globalization , economic freedom , and low levels of perceived corruption . [ 29 ] Despite its prosperity, Chile experiences significant economic inequality , as reflected by its Gini index , [ 30 ] though this is close to the regional average. [ 31 ] Among Organisation for Economic Co-operation and Development (OECD) countries, Chile has a robust social security system, with social welfare expenditures amounting to approximately 19.6% of GDP . [ 32 ] [ 33 ] [ 34 ]","Chile's economy is a high-income market economy with strong performance in competitiveness, income per capita, and economic freedom. Despite its prosperity, the country faces significant economic inequality, although its social security system is robust compared to other OECD countries, with social welfare expenditures amounting to around 19.6% of GDP."
Iran,341.01,2024,3900.0,19960.0,2.0,3.99,6.0,107.43,54.46,38.3975,34091132.0,Iranian rial (IRR),https://en.wikipedia.org/wiki/Economy_of_Iran,5.345000000000003,47.473681123720716,0.33373301294282776,0.0017120240480961923,0.8899957933786953,0,0,5.834839976401214,8.268988209506656,9.901535648810883,4.68610480348409,4.015662040187632,17.344547879114746,3,Developing (Upper),"Iran has a mixed , centrally planned economy with a large public sector . [ 25 ] [ needs update ] It consists of hydrocarbon, agricultural and service sectors, in addition to manufacturing and financial services, [ 26 ] with over 40 industries traded on the Tehran Stock Exchange . With 10% of the world's proven oil reserves and 15% of its gas reserves , Iran is considered an "" energy superpower "". [ 27 ] [ 28 ] [ 29 ] [ 30 ] [ 31 ] Nevertheless since 2024, Iran has been suffering from an energy crisis .","Iran has a centrally planned economy with a significant public sector and diverse sectors including hydrocarbons, agriculture, services, manufacturing, and financial services. The country is considered an ""energy superpower"" due to its substantial oil and gas reserves. However, Iran has been facing an energy crisis since 2024."
Portugal,321.44,2024,30002.0,50037.0,2.0,2.8,5.9,132.555,127.37,63.9,270.72,Euro (EUR),https://en.wikipedia.org/wiki/Economy_of_Portugal,5.185000000000002,79.94575223049205,0.5995962987389332,0.0018965965185762537,0.9608841612915393,1,0,5.7759170724154005,10.309052655644626,10.820537995756526,4.894513378016505,4.854916719096835,5.604772124323102,1,Developed,"The economy of Portugal is ranked 37th in the World Competitiveness Ranking 2025 by Swiss institute IMD. [ 35 ] The great majority of the international trade is done within the European Union (EU), whose countries received 71.4% of the Portuguese exports and were the origin of 74.6% of the Portuguese imports in 2020. [ 36 ]","Portugal's economy ranks 37th in the World Competitiveness Ranking 2025 by IMD. The majority of Portugal's international trade is conducted within the European Union, with EU countries accounting for 71.4% of Portuguese exports and 74.6% of imports in 2020."
Finland,303.94,2024,54160.0,66500.0,2.0,3.59,9.2,98.47,97.88,63.9,142.51,Euro (EUR),https://en.wikipedia.org/wiki/Economy_of_Finland,0.5900000000000034,64.60156609857208,0.61993269397237,0.007171712686024864,0.9940083274093632,1,0,5.720115035943761,10.899716371226633,11.104972264124868,4.599856091164322,4.59390699370938,4.96640471918284,1,Developed,"The economy of Finland is a highly industrialised , mixed economy with a per capita output similar to that of western European economies such as France , Germany , and the United Kingdom . The largest sector of Finland 's economy is its service sector , which contributes 72.7% to the country's gross domestic product (GDP); followed by manufacturing and refining at 31.4%; and the primary sector at 2.9%. [ 25 ] [ 26 ] Among OECD nations, Finland has a highly efficient and strong social security system ; social expenditure stood at roughly 29% of GDP . [ 27 ] [ 28 ] [ 29 ]","Finland's economy is a well-developed, mixed economy with a per capita output comparable to other Western European nations like France, Germany, and the UK. The service sector is the largest contributor to the country's GDP at 72.7%, followed by manufacturing and refining at 31.4%, and the primary sector at 2.9%. Finland also boasts a highly efficient social security system, with social expenditure accounting for approximately 29% of GDP, ranking favorably among OECD nations."
Peru,303.29,2024,8810.0,18690.0,2.8,2.7,6.0,44.92,43.13,38.3975,66.02,Peruvian sol (PEN),https://en.wikipedia.org/wiki/Economy_of_Peru,1.7899999999999991,32.12459620397893,0.47137506688068487,0.001359015516318887,0.9601513802315227,0,0,5.717981194056014,9.08375621986673,9.835797403566177,3.826900752011311,3.7871398232814557,4.2049910823091645,3,Developing (Upper),"The economy of Peru is an emerging , mixed economy characterized by a high level of foreign trade and an upper middle income economy as classified by the World Bank . [ 22 ] Peru has the forty-seventh largest economy in the world by total GDP [ 23 ] and currently experiences a high human development index . [ 24 ] The country was one of the world's fastest-growing economies in 2012, with a GDP growth rate of 6.3%. [ 25 ] The economy was expected to increase 9.3% in 2021, in a rebound from the COVID-19 pandemic in Peru . [ 26 ] Peru has signed a number of free trade agreements with its main trade partners. China became the nation's largest trading partner following the China–Peru Free Trade Agreement signed on 28 April 2009. [ 27 ] Additional free trade agreements have been signed with the United States in 2006 , [ 13 ] [ 28 ] Japan in 2011 [ 29 ] and the European Union in 2012. [ 30 ] Trade and industry are centralized in Lima while agricultural exports have led to regional development within the nation.","Peru's economy is an emerging, mixed economy with a high level of foreign trade and an upper middle-income classification by the World Bank. The country experienced rapid economic growth in 2012 and was expected to rebound with a 9.3% increase in 2021 post-COVID-19 pandemic. Peru has signed multiple free trade agreements with key partners like China, the United States, Japan, and the European Union, with trade and industry primarily concentrated in Lima and agricultural exports driving regional development."
Kazakhstan,300.54,2024,14768.0,44446.0,4.0775,3.99,6.0,78.7,61.2,38.3975,66.02,Tenge (KZT),https://en.wikipedia.org/wiki/Economy_of_Kazakhstan,5.345000000000003,46.549544153856395,0.33373301294282776,0.001059967567033665,0.8899957933786953,0,0,5.708902677350773,9.600285668426311,10.702052747100838,4.378269585796169,4.130354999745133,4.2049910823091645,3,Developed,"The economy of Kazakhstan is the largest in Central Asia in both absolute and per capita terms. As of 2023, Kazakhstan attracted more than US$370 billion of foreign investments since becoming an independent republic after the dissolution of the former Soviet Union . [ 21 ]","Kazakhstan boasts the largest economy in Central Asia, both in absolute and per capita terms. Since gaining independence after the dissolution of the Soviet Union, the country has attracted over US$370 billion in foreign investments as of 2023."
Algeria,268.88,2024,5690.0,18530.0,3.5,3.8,9.7,60.38,43.5,55.1,66.02,Algerian dinar (DZD),https://en.wikipedia.org/wiki/Economy_of_Algeria,5.345000000000003,38.63433501933948,0.33373301294282776,0.0029735563950350785,0.8899957933786953,0,0,5.597977415759225,8.646641258603124,9.82720028436401,4.1170840491915905,3.7954891891721947,4.2049910823091645,3,Developing (Upper),"The economy of Algeria deals with Algeria 's current and structural economic situation. Currently, Algeria has a mixed economy . [ 27 ] Since independence in 1962, Algeria has launched major economic projects to build up a dense industrial base. However, despite these major achievements (roads, freeways, universities, hospitals, factories, housing, metro and tramway systems, etc.), the Algerian economy has gone through various stages of turbulence.","Algeria's economy is characterized by a mix of state and private sectors, with significant investments made in infrastructure and industrial development since gaining independence in 1962. Despite these achievements, the economy has faced periods of instability. Key sectors such as transportation, education, healthcare, and manufacturing have seen substantial growth, but ongoing challenges require continued attention from policymakers."
Greece,267.35,2024,25756.0,45048.0,2.0,2.7,9.4,49.961,85.022,63.9,364.88,Euro (EUR),https://en.wikipedia.org/wiki/Economy_of_Greece,-4.572750000000001,50.48924630633999,0.5717456934825076,0.0034096963239211506,1.7017673785552734,1,0,5.592292098622838,10.156461713809012,10.715506065231846,3.931060634305284,4.454603077492186,5.902305410788164,1,Developed,"Greece has an advanced , high-income economy. [ 2 ] [ 3 ] It is the 50th-largest in the world, with an annual nominal gross domestic product (GDP) of $267.3 billion. [ 5 ] In terms of purchasing power parity (PPP), Greece is the world's 54th-largest economy, at $467.590 billion in annual output. [ 5 ] It is the 16th-largest economy in the European Union and eleventh largest in the eurozone . [ 38 ] According to the International Monetary Fund 's figures for 2025, Greece's GDP per capita is $25,756 at nominal value and $45,048 at purchasing power parity . [ 5 ] Greece is a welfare state and ranks relatively highly among OECD nations in terms of social spending , which stood at 23.7% of GDP in 2024. [ 39 ]","Greece has a high-income economy, ranking as the 50th largest in the world with a nominal GDP of $267.3 billion. In terms of purchasing power parity, Greece is the 54th largest economy globally, with an annual output of $467.590 billion. The country's GDP per capita is $25,756 at nominal value and $45,048 at purchasing power parity, and it is considered a welfare state with relatively high social spending compared to other OECD nations, standing at 23.7% of GDP in 2024."
Iraq,258.02,2024,5668.0,15178.0,4.0775,3.2,13.0,127.079,69.162,45.9,66.02,Dinar (IQD),https://en.wikipedia.org/wiki/Economy_of_Iraq,5.345000000000003,76.05650724750019,0.3734352352088549,0.003024113848991962,0.8899957933786953,0,0,5.556905278795441,8.642768014324304,9.627668172626858,4.852647261037743,4.250806853929011,4.2049910823091645,3,Developing (Upper),"The economy of Iraq is dominated by the oil sector, which provided 89% of foreign exchange earnings in 2024. [ 16 ] During its modern history , the oil sector has provided about 99.7% of foreign exchange earnings. [ 17 ] Agrarian economy underwent rapid development following the 14 July Revolution in 1958 which overthrew the Hashemite monarchy . It had become the third-largest economy in the Middle East by 1980. This occurred in part because of the industrialization and infrastructure development initiatives led by Saddam Hussein in the 1970s, which included irrigation projects, railway and highway construction, and rural electrification . [ 18 ]","Iraq's economy heavily relies on the oil sector, contributing to the majority of foreign exchange earnings. The country experienced significant economic growth following the 14 July Revolution in 1958, becoming the third-largest economy in the Middle East by 1980. Infrastructure development initiatives, including irrigation projects and rural electrification, led by Saddam Hussein in the 1970s, played a key role in this growth."
New Zealand,248.67,2024,46130.0,55450.0,2.0,2.7,6.0,72.8,88.8,38.3975,66.02,New Zealand dollar (NZD),https://en.wikipedia.org/wiki/Economy_of_New_Zealand,-4.572750000000001,64.98572405195641,0.61993269397237,0.001059967567033665,1.2197802197802199,0,0,5.520140045894831,10.739240454183802,10.923255026881002,4.301358731606427,4.497584975308154,4.2049910823091645,1,Developed,"New Zealand has a highly developed free-market economy . [ 23 ] As of 2025 [update] , New Zealand's nominal GDP was US$248 billion. [ 24 ] In the 2025 IMF rankings New Zealand was the 52nd -largest national economy in the world when measured by nominal gross domestic product (GDP) and the 63rd -largest in the world when measured by purchasing power parity (PPP). New Zealand has one of the most globalised economies and depends greatly on international trade , mainly with China , Australia , the European Union , the United Kingdom , the United States , Japan and Korea . New Zealand's 1983 Closer Economic Relations agreement with Australia means that the economy aligns closely with that of Australia . Among OECD nations, New Zealand has a highly efficient and strong social security system ; social expenditure stood at roughly 19.4% of GDP . [ 25 ] [ 26 ] [ 27 ]","New Zealand has a highly developed free-market economy with a nominal GDP of US$248 billion as of 2025, ranking 52nd in the world by nominal GDP and 63rd by purchasing power parity. The country's economy is heavily reliant on international trade, particularly with China, Australia, the European Union, the United Kingdom, the United States, Japan, and Korea. New Zealand also boasts a highly efficient social security system, with social expenditure accounting for approximately 19.4% of GDP, aligning closely with Australia's economy under the 1983 Closer Economic Relations agreement."
Hungary,237.07,2024,25128.0,48178.0,2.2,3.99,6.0,125.75,115.63,63.9,31040.0,Hungarian forint (HUF),https://en.wikipedia.org/wiki/Economy_of_Hungary,5.345000000000003,79.94575223049205,0.5215658599360704,0.0013761467889908255,0.9195228628230616,0,0,5.472564748074418,10.131777836669867,10.782678520453256,4.842216642471293,4.759006530702958,10.34306419027306,3,Developed,"The economy of Hungary is a developing , [ 1 ] high-income mixed economy that is the 53rd-largest economy in the world (out of 188 countries measured by IMF ) with $265.037 billion annual output, [ 27 ] and ranks 41st in the world in terms of GDP per capita measured by purchasing power parity . Hungary has a very high human development index and a skilled labour force , with the 22nd lowest income inequality by Gini index in the world. Hungary has an export-oriented market economy with a heavy emphasis on foreign trade ; thus the country is the 35th largest export economy in the world. The country had more than $100 billion of exports in 2015, with a high trade surplus of $9.003 billion, of which 79% went to the European Union (EU) and 21% was extra-EU trade. [ 28 ] Hungary's productive capacity is more than 80% privately owned , with 39.1% overall taxation , which funds the country's welfare economy . [ citation needed ] On the expenditure side, household consumption is the main component of GDP and accounts for 50% of its total, followed by gross fixed capital formation with 22% and government expenditure with 20%. [ 29 ]","Hungary's economy is a high-income mixed economy with a strong focus on export-oriented market activities. The country ranks 53rd in the world in terms of GDP, with a significant trade surplus of $9.003 billion in 2015. Hungary's economy is characterized by a skilled labor force, low income inequality, and a high human development index, with household consumption being the main component of GDP."
Qatar,222.78,2024,72760.0,118760.0,2.0,2.7,6.0,128.709,26.69,44.5,66.02,Qatari riyal (QAR),https://en.wikipedia.org/wiki/Economy_of_Qatar,5.345000000000003,69.75446628961308,0.6126641966992253,0.001059967567033665,0.8899957933786953,0,0,5.410663426379575,11.194935376352896,11.684868349185795,4.865293479817042,3.3210713371828704,4.2049910823091645,1,Developed,"The economy of Qatar is one of the highest in the world based on GDP per capita, ranking generally among the top ten richest countries on world rankings for 2015 and 2016 data compiled by the World Bank , the United Nations , and the International Monetary Fund (IMF). [ 14 ] [ 15 ] Qatar advocates for a mixed economy system . [ 16 ] The country's economy has grown despite sanctions by its neighbors, Saudi Arabia and the United Arab Emirates . Mainly because the country exports primarily to Japan , South Korea , India and China , making the sanctions effectively redundant as neither Saudi Arabia nor the United Arab Emirates have imposed trading penalties such as tariffs or embargoes on any of these countries for trading with Qatar , or offering incentives such as discounts for their own energy exports to reduce Qatari exports.","Qatar has one of the highest GDP per capita in the world, consistently ranking among the top ten richest countries. Despite facing sanctions from neighboring countries, its economy has continued to grow due to its diversified export markets, primarily to Japan, South Korea, India, and China. The country follows a mixed economy system and has managed to navigate the sanctions effectively by maintaining strong trade relationships with key global partners."
Ukraine,205.74,2024,6261.0,20999.0,2.0,3.99,11.6,41.7,70.7,63.9,66.02,Ukrainian hryvnia,https://en.wikipedia.org/wiki/Economy_of_Ukraine,-4.572750000000001,54.63205988140372,0.33373301294282776,0.004476403638268489,1.6954436450839327,0,0,5.331461965140338,8.742254901886351,9.95227771670556,3.754198920234579,4.272490747605575,4.2049910823091645,0,Developing (Upper),"The economy of Ukraine is a developing social market economy . [ 1 ] It possesses many of the components of a major European economy, such as rich farmlands, [ 28 ] [ 29 ] a well-developed industrial base, highly-trained labour, and a good education system. [ 30 ] Ukraine has large mineral deposits across its landmass. [ 31 ]","Ukraine's economy is a developing social market economy with rich farmlands, a well-developed industrial base, skilled labor, and a strong education system. The country also has significant mineral deposits."
Nigeria,188.27,2024,1100.0,6790.0,3.1,3.99,22.6,42.4,52.0,38.3975,66.02,Nigerian naira (NGN),https://en.wikipedia.org/wiki/Economy_of_Nigeria,-4.572750000000001,50.14075529824189,0.33373301294282776,0.005390279823269515,1.2264150943396226,0,0,5.243174567050828,7.00397413672268,8.823353485113792,3.770459441106359,3.970291913552122,4.2049910823091645,0,Developing (Lower),"The economy of Nigeria is a middle-income, mixed economy and emerging market [ 28 ] [ 29 ] with expanding manufacturing, financial, service, communications, technology, and entertainment sectors. [ 30 ] [ 31 ] It is ranked as the 53rd-largest economy in the world in terms of nominal GDP , the second largest in Africa in terms of purchasing power parity, and the 27th-largest in terms of purchasing power parity.","Nigeria's economy is a middle-income, mixed economy with growing sectors in manufacturing, finance, services, communications, technology, and entertainment. It ranks as the 53rd largest economy globally by nominal GDP, the second largest in Africa by purchasing power parity, and the 27th largest in the world by purchasing power parity."
Morocco,165.84,2024,4400.0,11270.0,3.9,3.99,6.0,45.49,76.14,63.9,66.02,Moroccan dirham (MAD),https://en.wikipedia.org/wiki/Economy_of_Morocco,-4.572750000000001,73.34177520501687,0.3904170363797693,0.006184560780834073,1.673774455924379,0,0,5.117035269328745,8.38958706681109,9.329988334242078,3.8392372357024933,4.345621952780082,4.2049910823091645,0,Developing (Lower),"The economy of Morocco is a market economy , governed by the law of supply and demand . 
Since 1993, in line with many Western world changes, Morocco has followed a policy of privatisation . [ 19 ] Morocco has become a major player in African economic affairs, [ 20 ] and is the 6th largest African economy by GDP (PPP). The World Economic Forum placed Morocco as the most competitive economy in North Africa , in its African Competitiveness Report 2014–2015. [ 21 ]","Morocco has a market economy driven by supply and demand principles, with a focus on privatization since 1993. The country has emerged as a significant player in African economic matters and ranks as the 6th largest economy in Africa by GDP (PPP). The World Economic Forum has recognized Morocco as the most competitive economy in North Africa, according to its African Competitiveness Report 2014–2015."
Kuwait,153.1,2024,32289.0,51200.0,3.3,3.0,6.0,95.476,63.43,49.15,13.74,Kuwaiti dinar (KWD),https://en.wikipedia.org/wiki/Economy_of_Kuwait,5.345000000000003,79.94575223049205,0.61993269397237,0.001059967567033665,0.8899957933786953,0,0,5.03760174232607,10.382512863752321,10.843514342086866,4.569294272749595,4.1655793631505516,2.6905648867611904,3,Developed,"Kuwait has a petroleum-based economy that is classified as emerging [ 1 ] and high-income . [ 2 ] [ 16 ] By various per-capita measures of economic output, Kuwait is one of the wealthiest countries in the world. [ 17 ] [ 18 ] [ 19 ] [ 20 ]",Kuwait's economy is primarily driven by petroleum and is considered an emerging high-income country. It ranks among the wealthiest nations globally based on per-capita economic measures.
Slovakia,147.03,2024,27130.0,47430.0,2.0,3.9,5.8,107.43,107.358,48.0,45.2,Euro (EUR),https://en.wikipedia.org/wiki/Economy_of_Slovakia,0.07200000000000273,79.94575223049205,0.5720008433480919,0.001059967567033665,0.9993297961463278,1,0,4.997414955925401,10.208432264538738,10.767031302351667,4.68610480348409,4.685440560051361,3.832979798087693,1,Developed,"The economy of Slovakia is based upon Slovakia becoming an EU member state in 2004, and adopting the euro at the beginning of 2009. Its capital, Bratislava , is the largest financial centre in Slovakia. As of Q1 2018, the unemployment rate was 5.72%. [ 22 ]","Slovakia's economy has thrived since joining the EU in 2004 and adopting the euro in 2009, with Bratislava emerging as a key financial hub. The unemployment rate stood at 5.72% in Q1 2018, reflecting a relatively stable labor market."
Uzbekistan,132.48,2024,3.945,12596.0,4.0775,3.99,6.3,26.9,38.9,49.15,66.02,Sum (UZS),https://en.wikipedia.org/wiki/Economy_of_Uzbekistan,-4.572750000000001,49.66787439613527,0.33373301294282776,0.0039020323912353125,1.446096654275093,0,0,4.893951653883173,1.5983769650746755,9.441213969352303,3.32862668882732,3.686376323895818,4.2049910823091645,0,Developing (Lower),"The economy of Uzbekistan , formerly a Soviet-style command economy , has undergone changes that align more with a market economy . [ 15 ] Under the administration of Islam Karimov , currency conversion capacity was restricted, imports were controlled and Uzbekistan's borders with neighboring Kazakhstan , Kyrgyzstan , and Tajikistan were sporadically closed. Since the election of President Shavkat Mirziyoyev , Uzbekistan economic and social reforms have been implemented to boost growth and modernize the country. [ 16 ] International Financial Institutions, including EBRD , Asian Development Bank and the World Bank , are supportive of the reform process and increased their presence in the country. [ 17 ]","Uzbekistan's economy has transitioned from a Soviet-style command economy to a more market-oriented system under President Shavkat Mirziyoyev. Reforms aimed at boosting growth and modernizing the country have been implemented, with support from international financial institutions like the EBRD, Asian Development Bank, and World Bank. The country has opened up to increased foreign investment and trade, signaling a shift towards a more open and dynamic economic environment."
Kenya,131.67,2024,2470.0,7530.0,4.0775,3.59,6.0,13.9,24.4,54.2,66.02,Kenyan shilling (KES),https://en.wikipedia.org/wiki/Economy_of_Kenya,-4.572750000000001,32.12459620397893,0.33373301294282776,0.007171712686024864,1.7553956834532372,0,0,4.887864841928826,7.81237820598861,8.926783114101351,2.7013612129514133,3.2347491740244907,4.2049910823091645,0,Developing (Lower),"The economy of Kenya is market-based with a few state enterprises. Kenya has an emerging market and is an averagely industrialised nation ahead of its East African peers. Currently a lower middle income nation, Kenya plans to be a newly industrialised nation by 2030. The major industries driving the Kenyan economy include financial services, agriculture, real estate, manufacturing, logistics, tourism, retail and energy. As of 2020, Kenya had the third largest economy in Sub-Saharan Africa , behind Nigeria and South Africa . Regionally, Kenya has had a stronger and more stable economy compared to its neighbouring countries within East Africa. [ 16 ] By 2023, the country had become Africa's largest start-up hub by both funds invested and number of projects. [ 17 ]","Kenya's market-based economy is showing signs of growth and industrialization, positioning itself as a key player in East Africa. The country aims to transition to a newly industrialized nation by 2030, with major industries such as financial services, agriculture, real estate, and manufacturing driving economic development. Kenya's economy has been relatively strong and stable compared to its East African neighbors, and by 2023, it became Africa's largest start-up hub in terms of funds invested and number of projects."
Dominican Republic,127.83,2024,12452.0,30710.0,4.0775,3.59,6.0,11.0,20.0,38.3975,66.02,1 Dominican Peso,https://en.wikipedia.org/wiki/Economy_of_the_Dominican_Republic,-4.572750000000001,32.12459620397893,0.4054705307717356,0.0012276131553239987,1.8181818181818181,0,0,4.858493705803434,9.429716836721148,10.33237617558788,2.4849066497880004,3.044522437723423,4.2049910823091645,0,Developed,"The economy of the Dominican Republic is the seventh largest in Latin America , and is the largest in the Caribbean and Central American region. The Dominican Republic is an upper-middle income [ 14 ] developing country with important sectors including mining, tourism, manufacturing ( medical devices , electrical equipment , pharmaceuticals , and chemicals ), energy , real estate , infrastructure , telecommunications and agriculture . [ 15 ] [ 16 ] The Dominican Republic is on track to achieve its goal of becoming a high-income country by 2030, and is expected to grow 79% in this decade. [ 17 ] The country is the site of the single largest gold mine in Latin America, the Pueblo Viejo mine . [ 18 ] [ 19 ] Although the service sector is currently the leading employer of Dominicans (due principally to growth in tourism and free-trade zones ), agriculture remains an important sector in terms of the domestic market and is in second place (behind mining) in terms of export earnings. Tourism accounts for more than $7.4 billion in annual earnings in 2019. [ 20 ] Free-trade zone earnings and tourism are the fastest-growing export sectors. A leading growth engine in the Free-trade zone sector is the production of medical equipment for export having a value-added per employee of US$20,000 , [ 21 ] total revenue of US$1.5 billion, and a growth rate of 7.7% in 2019. The medical instrument export sector represents one of the highest-value added sectors of the country's economy, a true growth engine for the country's emerging market. [ 22 ] Remittances are an important sector of the economy, contributing US$8.2 billion in 2020. [ 23 ] Most of these funds are used to cover household expenses, such as housing, food, clothing, health care and education. Secondarily, remittances have financed businesses and productive activities. [ 24 ] Thirdly, this combined effect has induced investment by the private sector and helps fund the public sector through its value-added tax. The combined import market including the free-trade-zones amounts to a market of $20 billion a year in 2019. The combined export sector had revenues totaling $11 billion in 2019. [ 20 ] The consumer market is equivalent to $61 billion in 2019. [ 25 ] An important indicator is the average commercial loan interest rate, which directs short-term investment and stimulates long-term investment in the economy. It is currently 8.30%, as of June 2021. [ 26 ]","The Dominican Republic has a diverse economy with key sectors including mining, tourism, manufacturing, energy, real estate, and agriculture. The country is on track to become a high-income country by 2030, with significant growth expected in various sectors. Remittances play a crucial role in the economy, contributing $8.2 billion in 2020, primarily used for household expenses and also supporting businesses and investments."
Ecuador,125.68,2024,6567.0,14485.0,3.1,3.59,6.0,19.3,19.3,44.6,66.02,United States dollar (USD),https://en.wikipedia.org/wiki/Economy_of_Ecuador,0.0,32.12459620397893,0.4533655505695547,0.003079047290300311,1.0,0,1,4.841664221670439,8.789964651132264,9.580937944755272,3.0106208860477417,3.0106208860477417,4.2049910823091645,0,Developing (Lower),"The economy of Ecuador is the eighth largest in Latin America and the 69th largest in the world by total GDP. [ 18 ] Ecuador 's economy is based on the export of oil , bananas , shrimp , gold , other primary agricultural products and money transfers from Ecuadorian emigrants employed abroad. [ 19 ] In 2017, remittances constituted 2.7% of Ecuador's GDP. [ 20 ] The total trade amounted to 42% of the Ecuador's GDP in 2017. [ 21 ]","Ecuador's economy ranks as the eighth largest in Latin America and the 69th globally by GDP. It heavily relies on exports of oil, bananas, shrimp, gold, and other agricultural products, as well as remittances from Ecuadorian emigrants. In 2017, remittances accounted for 2.7% of Ecuador's GDP, with total trade making up 42% of the country's GDP."
Puerto Rico,122.52,2024,38440.0,43820.0,3.1,3.59,5.5,73.17,43.32,51.6,66.02,United States dollar,https://en.wikipedia.org/wiki/Economy_of_Puerto_Rico,5.345000000000003,79.94575223049205,0.61993269397237,0.0011775445002282063,0.8899957933786953,0,0,4.816403086276466,10.556879877314014,10.68786843351892,4.306359755748467,3.7914360424390283,4.2049910823091645,3,Developed,"The economy of Puerto Rico is classified as a high-income economy by the World Bank and as the most competitive economy in Latin America by the World Economic Forum . [ 17 ] [ 18 ] The main drivers of Puerto Rico 's economy are manufacturing , which primarily includes pharmaceuticals , textiles, petrochemicals , and electronics; followed by the service industry , notably finance , insurance, real estate , and tourism . [ c ] [ d ] The geography of Puerto Rico and its political status are both determining factors on its economic prosperity, primarily due to its relatively small size as an island; its lack of natural resources used to produce raw materials , and, consequently, its dependence on imports; as well as its relationship with the United States federal government, which controls its foreign policies while exerting trading restrictions, particularly in its shipping industry .","Puerto Rico's economy is considered high-income and the most competitive in Latin America, driven by manufacturing (pharmaceuticals, textiles, petrochemicals, electronics) and services (finance, insurance, real estate, tourism). The island's economic prosperity is influenced by its small size, lack of natural resources for raw materials, dependence on imports, and its relationship with the U.S. government, which controls foreign policies and imposes trading restrictions, especially in the shipping industry."
Guatemala,121.18,2024,6700.0,15630.0,4.0775,3.59,6.0,11.12,17.11,38.3975,66.02,Quetzal (GTQ),https://en.wikipedia.org/wiki/Economy_of_Guatemala,-4.572750000000001,32.12459620397893,0.4286628278950736,0.0015802943058221368,1.5386690647482015,0,0,4.805495367221621,8.81001204797317,9.65701140089547,2.4948569806411682,2.896464271895322,4.2049910823091645,0,Developing (Upper),"The economy of Guatemala is a considered a developing economy, highly dependent on agriculture, particularly on traditional crops such as coffee, sugar, and bananas. [ 16 ] The Guatemalan economy is the largest in Central America . It grew 3.3 percent on average from 2015 to 2018. [ 17 ] However, Guatemala remains one of the poorest countries in Latin America and the Caribbean, having highly unequal incomes and chronically malnourished children. The country is beset by political insecurity, and lacks skilled workers and infrastructure. It depends on remittances for nearly one-tenth of the GDP. [ 18 ]","Guatemala's economy is the largest in Central America, primarily driven by agriculture, with a 3.3% average growth from 2015 to 2018. Despite this growth, Guatemala faces challenges such as high poverty rates, income inequality, malnutrition, political instability, lack of skilled labor, and inadequate infrastructure. Remittances play a significant role in supporting the economy, contributing nearly one-tenth of the GDP."
